63 6 5
NTop NFop NCop DDL Nthr Nite 0.5 0.125 0.03125 0.0078125 0.001953125 
306856 80400 2528 2 100 2 0.00296204 0.00308874 0.00312911 0.00310265 0.00311913 
1223706 320800 10053 2 200 2 0.0251416 0.0224531 0.0225198 0.0225287 0.022558 
4887406 1281600 40103 2 400 2 0.171489 0.178141 0.178968 0.177592 0.179636 
10991106 2882400 90153 2 600 2 0.578555 0.599119 0.586992 0.587904 0.58886 
19534806 5123200 160203 2 800 2 1.37081 1.37763 1.37957 1.3865 1.382 
30518506 8004000 250253 2 1000 2 2.67072 2.76233 2.71045 2.70337 2.71008 
68652756 18006000 562878 2 1500 2 9.68439 9.20788 9.17923 9.18729 9.18215 
122037006 32008000 1000503 2 2000 2 21.5941 21.8778 21.9863 21.9429 21.8525 
190671256 50010000 1563128 2 2500 2 42.5416 42.8932 42.9117 43.0048 42.9529 
306856 80400 2528 2 100 4 0.00507639 0.00215345 0.00207157 0.00191726 0.0018682 
1223706 320800 10053 2 200 4 0.0266791 0.0126525 0.0130807 0.0128883 0.0126924 
4887406 1281600 40103 2 400 4 0.177267 0.0927423 0.096898 0.0954179 0.0965605 
10991106 2882400 90153 2 600 4 0.717952 0.308058 0.324586 0.320799 0.320961 
19534806 5123200 160203 2 800 4 1.4231 0.71875 0.739828 0.739197 0.763956 
30518506 8004000 250253 2 1000 4 2.76562 1.41239 1.42883 1.45509 1.43095 
68652756 18006000 562878 2 1500 4 9.48652 4.80674 4.8318 4.93059 4.82986 
122037006 32008000 1000503 2 2000 4 24.5525 11.4258 11.6229 11.3938 11.6487 
190671256 50010000 1563128 2 2500 4 44.1492 22.5477 22.4534 22.6263 22.5323 
306856 80400 2528 2 100 6 0.0033327 0.0014805 0.00125504 0.00128204 0.00126481 
1223706 320800 10053 2 200 6 0.0260047 0.0120634 0.00867026 0.00897614 0.00902034 
4887406 1281600 40103 2 400 6 0.184232 0.0968174 0.0669633 0.0666376 0.0672801 
10991106 2882400 90153 2 600 6 0.619931 0.315471 0.21964 0.21708 0.222056 
19534806 5123200 160203 2 800 6 1.47632 0.739838 0.529974 0.526471 0.524202 
30518506 8004000 250253 2 1000 6 2.86197 1.447 1.02211 1.00487 1.01964 
68652756 18006000 562878 2 1500 6 9.56983 4.89476 3.45149 3.41301 3.42839 
