64 6 5
NTop NFop NCop DDL Nthr Nite 0.5 0.125 0.03125 0.0078125 0.001953125 
306856 80400 2528 2 100 1 0.00605508 0.0055368 0.00552995 0.00553934 0.00552954 
1223706 320800 10053 2 200 1 0.0430371 0.043074 0.043076 0.0430625 0.0430614 
2750556 721200 22578 2 300 1 0.145512 0.145533 0.145507 0.145497 0.145519 
4887406 1281600 40103 2 400 1 0.341802 0.341731 0.341654 0.341595 0.341562 
7634256 2002000 62628 2 500 1 0.668339 0.668192 0.668263 0.668134 0.668177 
306856 80400 2528 2 100 2 0.00290378 0.00316533 0.0031713 0.00318051 0.00317167 
1223706 320800 10053 2 200 2 0.0217651 0.0225896 0.0225596 0.0226039 0.0231563 
2750556 721200 22578 2 300 2 0.0738527 0.0780004 0.0768583 0.0771691 0.0771278 
4887406 1281600 40103 2 400 2 0.178051 0.177767 0.177578 0.178125 0.178361 
7634256 2002000 62628 2 500 2 0.340097 0.344992 0.344371 0.344664 0.344764 
306856 80400 2528 2 100 4 0.00387819 0.00164793 0.0017322 0.00175762 0.00177834 
1223706 320800 10053 2 200 4 0.0245968 0.0119376 0.0131064 0.0130137 0.0126914 
2750556 721200 22578 2 300 4 0.0794732 0.0398769 0.0405625 0.0406027 0.0406089 
4887406 1281600 40103 2 400 4 0.191622 0.092717 0.0974357 0.0977996 0.0977615 
7634256 2002000 62628 2 500 4 0.370262 0.180803 0.179931 0.179652 0.181778  
306856 80400 2528 2 100 6 0.00366847 0.00147045 0.00126404 0.00126696 0.00126708 
1223706 320800 10053 2 200 6 0.0256424 0.0120971 0.00910635 0.00897057 0.00896234 
2750556 721200 22578 2 300 6 0.0807534 0.0397848 0.0289517 0.0290045 0.028815 
4887406 1281600 40103 2 400 6 0.191841 0.0949503 0.0665306 0.0669905 0.0670109 
7634256 2002000 62628 2 500 6 0.389598 0.182378 0.129083 0.130376 0.128035 
306856 80400 2528 2 100 8 0.00356786 0.00152529 0.00104627 0.00104715 0.00104435 
1223706 320800 10053 2 200 8 0.0241606 0.0127163 0.00706089 0.0070249 0.00707555 
2750556 721200 22578 2 300 8 0.0861983 0.0403128 0.0239058 0.0241856 0.0238765 
4887406 1281600 40103 2 400 8 0.194051 0.098313 0.0541579 0.053565 0.0536611 
7634256 2002000 62628 2 500 8 0.383728 0.190231 0.098316 0.0978431 0.0977553 
306856 80400 2528 2 100 10 0.00351587 0.00152291 0.000854517 0.000860691 0.000851289 
1223706 320800 10053 2 200 10 0.0252336 0.0121373 0.00595094 0.00588899 0.00603917 
2750556 721200 22578 2 300 10 0.0820886 0.0397487 0.0194336 0.0176783 0.0177306 
4887406 1281600 40103 2 400 10 0.199783 0.0969074 0.0465335 0.0434567 0.0439441 
7634256 2002000 62628 2 500 10 0.377524 0.186214 0.089251 0.0842628 0.0840652 
306856 80400 2528 2 100 12 0.00383509 0.00150569 0.000802787 0.00080142 0.000796491 
1223706 320800 10053 2 200 12 0.0244815 0.0116286 0.00504066 0.00500365 0.0049631 
2750556 721200 22578 2 300 12 0.087897 0.0386229 0.0166162 0.0162046 0.0160694 
4887406 1281600 40103 2 400 12 0.202568 0.0928705 0.0355037 0.0369012 0.0372578 
7634256 2002000 62628 2 500 12 0.378669 0.180608 0.0718737 0.0708345 0.070632 
306856 80400 2528 2 100 14 0.00361901 0.00149294 0.000676286 0.000693393 0.000687202 
1223706 320800 10053 2 200 14 0.0242129 0.0118098 0.0047574 0.00397647 0.00398169 
2750556 721200 22578 2 300 14 0.0848025 0.0387479 0.0153948 0.0144183 0.0148332 
4887406 1281600 40103 2 400 14 0.191689 0.0929177 0.0344701 0.0311213 0.0307054 
7634256 2002000 62628 2 500 14 0.381616 0.171154 0.0689999 0.0629775 0.0618841 
10991106 2882400 90153 2 600 1 1.14966 1.14935 1.14922 1.14938 1.14921 
14957956 3922800 122678 2 700 1 1.83139 1.83082 1.83078 1.83078 1.83076 
19534806 5123200 160203 2 800 1 2.79501 2.75801 2.75811 2.75815 2.75808 
10991106 2882400 90153 2 600 2 0.580778 0.586544 0.585823 0.586004 0.588237 
14957956 3922800 122678 2 700 2 0.925289 0.933871 0.92957 0.925685 0.931939 
19534806 5123200 160203 2 800 2 1.36835 1.38553 1.37891 1.38785 1.37627 
10991106 2882400 90153 2 600 4 0.622355 0.306804 0.319717 0.320222 0.320128 
14957956 3922800 122678 2 700 4 1.00236 0.499629 0.487942 0.483819 0.485373 
19534806 5123200 160203 2 800 4 1.47714 0.716907 0.746956 0.741407 0.738634 
10991106 2882400 90153 2 600 6 0.685161 0.315166 0.219431 0.217342 0.218811 
14957956 3922800 122678 2 700 6 1.05532 0.499286 0.357624 0.357773 0.357225 
19534806 5123200 160203 2 800 6 1.52844 0.743199 0.528234 0.526653 0.528177 
10991106 2882400 90153 2 600 8 0.677217 0.327508 0.173397 0.173632 0.174168 
14957956 3922800 122678 2 700 8 1.07005 0.520595 0.278482 0.279432 0.277397 
19534806 5123200 160203 2 800 8 1.52116 0.765017 0.413449 0.413172 0.410735 
10991106 2882400 90153 2 600 10 0.655899 0.315586 0.154046 0.139817 0.140447 
14957956 3922800 122678 2 700 10 1.03877 0.506944 0.253859 0.229065 0.235461 
19534806 5123200 160203 2 800 10 1.54486 0.755001 0.37279 0.329989 0.325989 
10991106 2882400 90153 2 600 12 0.649984 0.312779 0.124747 0.121328 0.120298 
14957956 3922800 122678 2 700 12 1.02754 0.478147 0.19443 0.18834 0.188083 
19534806 5123200 160203 2 800 12 1.60704 0.715527 0.29474 0.281481 0.277713 
10991106 2882400 90153 2 600 14 0.650529 0.317348 0.120573 0.104936 0.104241 
14957956 3922800 122678 2 700 14 1.02251 0.473639 0.18744 0.16869 0.16866 
19534806 5123200 160203 2 800 14 1.54441 0.683527 0.283066 0.24522 0.245187
